
======================================SUBJECT-VERB EDGE==============================================

	Weight			Connection name
	0			bike-smake
	12503978			bike-eat
	15068797			bike-drink
	12343518			bike-cartwheel
	17221705			bike-clap
	16298553			bike-climb
	0			bike-climb stairs
	14910512			bike-dive
	17097615			bike-fall
	0			bike-backhand flip
	12068785			bike-handstand
	18488077			bike-jump
	-5197			bike-pull up
	0			bike-push up
	16064524			bike-run
	-24686			bike-sit down
	0			bike-sit up
	14667930			bike-somersault
	0			bike-stand up
	15623667			bike-turn
	21078759			bike-walk
	17531205			bike-wave
	14723742			bike-brush
	13434580			bike-catch
	0			bike-draw sword
	16033040			bike-dribble
	16862148			bike-golf
	15182058			bike-hit
	16372640			bike-kick
	16144671			bike-pick
	15144339			bike-pour
	19335300			bike-push
	19148974			bike-ride
	0			bike-shoot ball
	0			bike-shoot bow
	0			bike-shoot gun
	0			bike-swing bat
	17650134			bike-exercise
	17937787			bike-throw
	13477606			bike-fence
	15359989			bike-hug
	18834289			bike-kiss
	15874595			bike-punch
	0			bike-shake hands
	0			bike-sword fight
	17766869			plant-smile
	19731407			plant-laugh
	14705000			plant-chew
	22632483			plant-talk
	0			plant-smake
	14835174			plant-eat
	17878169			plant-drink
	14644799			plant-cartwheel
	20432457			plant-clap
	19337196			plant-climb
	0			plant-climb stairs
	17690374			plant-dive
	20285232			plant-fall
	0			plant-backhand flip
	14318846			plant-handstand
	21934926			plant-jump
	-6166			plant-pull up
	0			plant-push up
	19059535			plant-run
	-29288			plant-sit down
	0			plant-sit up
	17402565			plant-somersault
	0			plant-stand up
	18536487			plant-turn
	25008606			plant-walk
	20799660			plant-wave
	17468783			plant-brush
	15939275			plant-catch
	0			plant-draw sword
	19022182			plant-dribble
	20005866			plant-golf
	18012546			plant-hit
	19425096			plant-kick
	19154625			plant-pick
	17967794			plant-pour
	22940103			plant-push
	22719039			plant-ride
	0			plant-shoot ball
	0			plant-shoot bow
	0			plant-shoot gun
	0			plant-swing bat
	20940761			plant-exercise
	21282043			plant-throw
	15990322			plant-fence
	18223649			plant-hug
	22345686			plant-kiss
	18834197			plant-punch
	0			plant-shake hands
	0			plant-sword fight
	13825190			sheep-smile
	15353885			sheep-laugh
	11442614			sheep-chew
	17611341			sheep-talk
	0			sheep-smake
	11543908			sheep-eat
	13911797			sheep-drink
	11395769			sheep-cartwheel
	15899403			sheep-clap
	15047132			sheep-climb
	0			sheep-climb stairs
	13765666			sheep-dive
	15784840			sheep-fall
	0			sheep-backhand flip
	11142130			sheep-handstand
	17068541			sheep-jump
	-4798			sheep-pull up
	0			sheep-push up
	14831071			sheep-run
	-22790			sheep-sit down
	0			sheep-sit up
	13541709			sheep-somersault
	0			sheep-stand up
	14424064			sheep-turn
	19460308			sheep-walk
	16185140			sheep-wave
	13593237			sheep-brush
	12403058			sheep-catch
	0			sheep-draw sword
	14802005			sheep-dribble
	15567453			sheep-golf
	14016363			sheep-hit
	15115531			sheep-kick
	14905065			sheep-pick
	13981539			sheep-pour
	17850713			sheep-push
	17678694			sheep-ride
	0			sheep-shoot ball
	0			sheep-shoot bow
	0			sheep-shoot gun
	0			sheep-swing bat
	16294936			sheep-exercise
	16560503			sheep-throw
	12442780			sheep-fence
	14180631			sheep-hug
	17388171			sheep-kiss
	14655725			sheep-punch
	0			sheep-shake hands
	0			sheep-sword fight
	15639676			sofa-smile
	17369004			sofa-laugh
	12944399			sofa-chew
	19922740			sofa-talk
	0			sofa-smake
	13058987			sofa-eat
	15737650			sofa-drink
	12891405			sofa-cartwheel
	17986118			sofa-clap
	17021991			sofa-climb
	0			sofa-climb stairs
	15572339			sofa-dive
	17856520			sofa-fall
	0			sofa-backhand flip
	12604478			sofa-handstand
	19308700			sofa-jump
	-5427			sofa-pull up
	0			sofa-push up
	16777574			sofa-run
	-25781			sofa-sit down
	0			sofa-sit up
	15318989			sofa-somersault
	0			sofa-stand up
	16317149			sofa-turn
	22014374			sofa-walk
	18309356			sofa-wave
	15377279			sofa-brush
	14030896			sofa-catch
	0			sofa-draw sword
	16744693			sofa-dribble
	17610602			sofa-golf
	15855939			sofa-hit
	17099367			sofa-kick
	16861278			sofa-pick
	15816545			sofa-pour
	20193528			sofa-push
	19998932			sofa-ride
	0			sofa-shoot ball
	0			sofa-shoot bow
	0			sofa-shoot gun
	0			sofa-swing bat
	18433563			sofa-exercise
	18733985			sofa-throw
	14075831			sofa-fence
	16041767			sofa-hug
	19670279			sofa-kiss
	16579215			sofa-punch
	0			sofa-shake hands
	0			sofa-sword fight
	18166539			monitor-smile
	20175271			monitor-laugh
	15035794			monitor-chew
	23141608			monitor-talk
	0			monitor-smake
	15168895			monitor-eat
	18280343			monitor-drink
	14974238			monitor-cartwheel
	20892091			monitor-clap
	19772192			monitor-climb
	0			monitor-climb stairs
	18088324			monitor-dive
	20741554			monitor-fall
	0			monitor-backhand flip
	14640952			monitor-handstand
	22428359			monitor-jump
	-6304			monitor-pull up
	0			monitor-push up
	19488285			monitor-run
	-29947			monitor-sit down
	0			monitor-sit up
	17794041			monitor-somersault
	0			monitor-stand up
	18953471			monitor-turn
	25571182			monitor-walk
	21267554			monitor-wave
	17861749			monitor-brush
	16297833			monitor-catch
	0			monitor-draw sword
	19450092			monitor-dribble
	20455904			monitor-golf
	18417744			monitor-hit
	19862069			monitor-kick
	19585514			monitor-pick
	18371985			monitor-pour
	23456147			monitor-push
	23230111			monitor-ride
	0			monitor-shoot ball
	0			monitor-shoot bow
	0			monitor-shoot gun
	0			monitor-swing bat
	21411829			monitor-exercise
	21760789			monitor-throw
	16350029			monitor-fence
	18633596			monitor-hug
	22848358			monitor-kiss
	19257878			monitor-punch
	0			monitor-shake hands
	0			monitor-sword fight

======================================VERB-OBJECT EDGE==============================================

	Weight			Connection name

	9610357			smile-aeroplane
	11110902			smile-bicycle
	10158783			smile-bird
	10616093			smile-boat
	11251906			smile-bottle
	11295212			smile-person
	11101088			smile-car
	11532123			smile-bus
	9647011			smile-dog
	9033124			smile-cat
	10558006			smile-chair
	8163703			smile-table
	7369488			smile-cow
	8596932			smile-horse
	10586350			smile-bike
	11727936			smile-plant
	7564818			smile-sheep
	10382868			smile-sofa
	9541914			smile-monitor
	10673004			laugh-aeroplane
	12339469			laugh-bicycle
	11282071			laugh-bird
	11789948			laugh-boat
	12496065			laugh-bottle
	12544160			laugh-person
	12328571			laugh-car
	12807266			laugh-bus
	10713711			laugh-dog
	10031945			laugh-cat
	11725438			laugh-chair
	9066389			laugh-table
	8184355			laugh-cow
	9547522			laugh-horse
	11756916			laugh-bike
	13024731			laugh-plant
	8401284			laugh-sheep
	11530934			laugh-sofa
	10596994			laugh-monitor
	7954148			chew-aeroplane
	9196095			chew-bicycle
	8408060			chew-bird
	8786560			chew-boat
	9312799			chew-bottle
	9348642			chew-person
	9187973			chew-car
	9544725			chew-bus
	7984485			chew-dog
	7476393			chew-cat
	8738483			chew-chair
	6756804			chew-table
	6099461			chew-cow
	7115373			chew-horse
	8761942			chew-bike
	9706792			chew-plant
	6261128			chew-sheep
	8593528			chew-sofa
	7897500			chew-monitor
	12242238			talk-aeroplane
	14153721			talk-bicycle
	12940856			talk-bird
	13523405			talk-boat
	14333340			talk-bottle
	14388507			talk-person
	14141220			talk-car
	14690297			talk-bus
	12288931			talk-dog
	11506925			talk-cat
	13449410			talk-chair
	10399405			talk-table
	9387687			talk-cow
	10951279			talk-horse
	13485516			talk-bike
	14939735			talk-plant
	9636510			talk-sheep
	13226309			talk-sofa
	12155052			talk-monitor
	0			smake-aeroplane
	0			smake-bicycle
	0			smake-bird
	0			smake-boat
	0			smake-bottle
	0			smake-person
	0			smake-car
	0			smake-bus
	0			smake-dog
	0			smake-cat
	0			smake-chair
	0			smake-table
	0			smake-cow
	0			smake-horse
	0			smake-bike
	0			smake-plant
	0			smake-sheep
	0			smake-sofa
	0			smake-monitor
	8024560			eat-aeroplane
	9277502			eat-bicycle
	8482491			eat-bird
	8864341			eat-boat
	9395239			eat-bottle
	9431400			eat-person
	9269308			eat-car
	9629218			eat-bus
	8055166			eat-dog
	7542576			eat-cat
	8815839			eat-chair
	6816618			eat-table
	6153455			eat-cow
	7178360			eat-horse
	8839506			eat-bike
	9792720			eat-plant
	6316554			eat-sheep
	8669600			eat-sofa
	7967412			eat-monitor
	9670560			drink-aeroplane
	11180506			drink-bicycle
	10222422			drink-bird
	10682597			drink-boat
	11322393			drink-bottle
	11365971			drink-person
	11170631			drink-car
	11604365			drink-bus
	9707444			drink-dog
	9089712			drink-cat
	10624146			drink-chair
	8214844			drink-table
	7415653			drink-cow
	8650787			drink-horse
	10652668			drink-bike
	11801405			drink-plant
	7612207			drink-sheep
